id,name,type,type_name,type_description,address,zip_code,city,country,latitude,longitude
0090313,Gossau - Stadtbühlpark,m,M-Migros,Kleine Filiale mit Grundsortiment,Stadtbühlstrasse 12,9200,Gossau SG,CH,47.4119695,9.2504373
0090314,Degersheim,m,M-Migros,Kleine Filiale mit Grundsortiment,Hauptstrasse 81,9113,Degersheim,CH,47.3724798,9.1965728
0090317,Heiden,m,M-Migros,Kleine Filiale mit Grundsortiment,Sonnentalstrasse 2,9410,Heiden,CH,47.4389521,9.5361583
0090318,Herisau - Alpsteinstrasse,m,M-Migros,Kleine Filiale mit Grundsortiment,Alpsteinstrasse 8b,9100,Herisau,CH,47.3787332,9.2788104
0090320,Aachtal,m,M-Migros,Kleine Filiale mit Grundsortiment,Schrofenstrasse 19,8580,Amriswil,CH,47.5482982,9.2732473
0090321,St. Gallen - Lachen,m,M-Migros,Kleine Filiale mit Grundsortiment,Ulmenstrasse 11,9000,St.Gallen,CH,47.4204665,9.3536906
0090323,Au SG,m,M-Migros,Kleine Filiale mit Grundsortiment,Nollenhornstrasse 9,9434,Au SG,CH,47.431293,9.6377624
0090324,Rorschach - Promenade,m,M-Migros,Kleine Filiale mit Grundsortiment,Promenadenstrasse 83,9400,Rorschach,CH,47.4740862,9.4950791
0090325,Flums,m,M-Migros,Kleine Filiale mit Grundsortiment,Lochrietstrasse 27,8890,Flums,CH,47.098083,9.353505
0090326,Rheineck,m,M-Migros,Kleine Filiale mit Grundsortiment,Rhyguetstrasse 2,9424,Rheineck,CH,47.4684353,9.5886584
0090327,Diepoldsau,m,M-Migros,Kleine Filiale mit Grundsortiment,Hintere Kirchstrasse 1,9444,Diepoldsau,CH,47.3857976,9.6562685
0090328,Thal,m,M-Migros,Kleine Filiale mit Grundsortiment,Wiesentalstrasse 4,9425,Thal,CH,47.4795373,9.5771551
0090331,Oberriet,m,M-Migros,Kleine Filiale mit Grundsortiment,Staatsstrasse 56,9463,Oberriet,CH,47.3158345,9.5634422
0090333,Davos-Dorf,m,M-Migros,Kleine Filiale mit Grundsortiment,Promenade 146,7260,Davos Dorf,CH,46.8073239,9.8382834
0090334,Chur - Ringstrasse,m,M-Migros,Kleine Filiale mit Grundsortiment,Ringstrasse 91,7000,Chur,CH,46.8577894,9.5207396
0090335,St. Gallen - Langgasse,m,M-Migros,Kleine Filiale mit Grundsortiment,Langgasse 20,9008,St. Gallen,CH,47.4352582,9.3862519
0090336,St. Gallen - Neudorf,m,M-Migros,Kleine Filiale mit Grundsortiment,Rorschacherstrasse 249,9016,St. Gallen,CH,47.4372078,9.4050204
0090337,Walenstadt,m,M-Migros,Kleine Filiale mit Grundsortiment,Bahnhofstrasse 27,8880,Walenstadt,CH,47.1219487,9.3135977
0090339,St. Gallen - Spisermarkt,m,M-Migros,Kleine Filiale mit Grundsortiment,Brühlgasse 28,9000,St.Gallen,CH,47.4252078,9.3782359
0090341,Triesen,m,M-Migros,Kleine Filiale mit Grundsortiment,Landstrasse 251,9495,Triesen,LI,47.108894,9.525209
0090349,Kreuzlingen,m,M-Migros,Kleine Filiale mit Grundsortiment,Hauptstrasse 63,8280,Kreuzlingen,CH,47.6481842,9.1756501
0090351,Müllheim,m,M-Migros,Kleine Filiale mit Grundsortiment,Thurstrasse 3,8555,Müllheim,CH,47.6001921,9.0003577
0090352,Horn,m,M-Migros,Kleine Filiale mit Grundsortiment,Seestrasse 119,9326,Horn,CH,47.49744,9.453102
0090361,Tägerwilen,m,M-Migros,Kleine Filiale mit Grundsortiment,Hauptstrasse 117,8274,Tägerwilen,CH,47.6538552,9.1419927
0090363,Bischofszell,m,M-Migros,Kleine Filiale mit Grundsortiment,Steigstrasse 5,9220,Bischofszell,CH,47.4925953,9.2441346
0090364,St. Gallen - Bruggen,m,M-Migros,Kleine Filiale mit Grundsortiment,Fürstenlandstrasse 157,9014,St.Gallen,CH,47.4100595,9.3354232
0090368,Ebnat-Kappel,m,M-Migros,Kleine Filiale mit Grundsortiment,Kapplerstrasse 16,9642,Ebnat-Kappel,CH,47.2664736,9.1197808
0090373,Bütschwil,m,M-Migros,Kleine Filiale mit Grundsortiment,Landstrasse 41,9606,Bütschwil,CH,47.3631624,9.0730977
0090375,Goldach,m,M-Migros,Kleine Filiale mit Grundsortiment,Ulrich-Rösch-Strasse 5,9403,Goldach,CH,47.474811,9.4677839
0090376,Münchwilen,m,M-Migros,Kleine Filiale mit Grundsortiment,Wilerstrasse 5,9542,Münchwilen,CH,47.4777001,8.9982661
