id,name,type,latitude,longitude,city,radius_minutes
34470,Meiringen,mm,46.7282562,8.1847964,Meiringen,20
34480,Biel - Bielerhof,mm,47.1350714,7.2443054,Biel/Bienne,20
34490,Gstaad,mm,46.4782457,7.2825683,Gstaad,20
34510,Ittigen,mm,46.9742162,7.4852772,Ittigen,20
34520,Hilterfingen,m,46.7353444,7.6586756,Hilterfingen,20
34530,Bern - Bahnhof,mm,46.949378,7.4401642,Bern,20
34540,Belp,mm,46.8964728,7.4926529,Belp,20
34700,Schönbühl - Shoppyland,mmm,47.0169335,7.4923677,Schönbühl,20
34710,Bern - Marktgasse,mmm,46.9482654,7.4448371,Bern,20
34720,Thun - Oberland,mmm,46.7447598,7.614778,Thun,20
34730,Brügg - Centre Brügg,mmm,47.119664,7.267001,Brügg b. Biel,20
34803,Grenchen,mm,47.1897743,7.3992644,Grenchen,20
34813,Langendorf - Ladedorf,mmm,47.2184063,7.5113259,Langendorf,20
34823,Buchs AG - Wynecenter,mmm,47.3846372,8.0889759,Buchs AG,20
34833,Spreitenbach - Tivoli,mmm,47.4233238,8.3700585,Spreitenbach,20
34843,Brugg - Neumarkt,mmm,47.481945,8.209613,Brugg AG,20
37302,VOI Strengelbach,voi,47.2784744,7.9286,Strengelbach,20
37303,VOI Bern - Fellergut,voi,46.9453512,7.3902179,Bern,20
37304,VOI Trimbach,voi,47.3623369,7.8988859,Trimbach,20
37306,VOI Bern - Fischermätteli,voi,46.9413645,7.4185558,Bern,20
37307,VOI Brügg,voi,47.1239464,7.2804096,Brügg BE,20
37308,VOI Grindelwald,voi,46.6236074,8.0391045,Grindelwald,20
37309,VOI Rombach,voi,47.401845,8.0448105,Rombach,20
37311,VOI Bern - Schosshalde,voi,46.9453775,7.4629318,Bern,20
37312,VOI Seengen,voi,47.3249241,8.2036078,Seengen,20
37313,VOI Wabern,voi,46.9286391,7.4523149,Wabern,20
37314,VOI Bettlach,voi,47.1993568,7.426077,Bettlach,20
37315,VOI Wangen a. Aare,voi,47.23393,7.6554199,Wangen an der Aare,20
37316,VOI Niederbipp,voi,47.2698326,7.6926322,Niederbipp,20
37317,VOI Niedergösgen,voi,47.3717743,7.9936894,Niedergösgen,20
37318,VOI Sumiswald,voi,47.0288821,7.7463868,Sumiswald,20
37319,VOI Biel - Mett,voi,47.1426268,7.2721353,Biel/Bienne,20
37321,VOI Dulliken,voi,47.354143,7.9345418,Dulliken,20
37322,VOI Aarwangen,voi,47.2362174,7.7718237,Aarwangen,20
